The time spent in the parallel computing activating process is 0.000262s.
-----
No.1	 toolpath -527.019689	[r = -600.000000] is calculated within 0.041731s.
-----
initial linear search begins: 
No.	x	f(x)
0	-564.299477	5.988032
1	-565.013488	5.898743
2	-565.727498	5.700614
3	-566.441509	4.901301
4	-567.155519	4.909856
5	-567.869530	4.918413
6	-568.583540	4.926972
7	-569.297551	4.935532
8	-570.011561	4.944093
9	-570.725572	4.952656
10	-571.439582	4.753012
11	-572.153592	4.499065
12	-572.867603	4.505725
13	-573.581613	4.512387
14	-574.295624	4.519050
15	-575.009634	4.525713
16	-575.723645	4.532378
17	-576.437655	4.539045
18	-577.151666	4.545712
19	-577.865676	3.795406
20	-578.579686	3.800983
21	-579.293697	3.806561
22	-580.007707	3.812140
23	-580.721718	3.817721
24	-581.435728	3.722520
25	-582.149739	3.134818
26	-582.863749	2.965547
27	-583.577760	2.960138
28	-584.291770	2.964703
29	-585.005781	2.945048
30	-585.719791	2.862678
31	-586.433801	2.790591
32	-587.147812	2.794098
33	-587.861822	2.797606
34	-588.575833	2.705393
35	-589.289843	2.568868
36	-590.003854	2.571756
37	-590.717864	2.358562
38	-591.431875	2.156264
39	-592.145885	2.106940
40	-592.859895	2.004922
41	-593.573906	1.892480
42	-594.287916	1.723248
43	-595.001927	1.724081
44	-595.715937	1.724915
45	-596.429948	1.725748
46	-597.143958	1.726581
47	-597.857969	1.644629
48	-598.571979	1.362542
49	-599.285990	-0.783410
bisection interval found by 1-dim search: [-599.285990,-598.571979]
No.2	 toolpath -525.870578	[r = -598.856468] is calculated within 9.441482s.
-----
initial linear search begins: 
No.	x	f(x)
0	-563.141887	3.032061
1	-563.856179	3.010061
2	-564.570470	2.677353
3	-565.284762	2.528809
4	-565.999053	2.403785
5	-566.713345	2.216028
6	-567.427637	2.062047
7	-568.141928	2.044399
8	-568.856220	1.917491
9	-569.570512	1.803585
10	-570.284803	1.632471
11	-570.999095	1.535641
12	-571.713386	1.370353
13	-572.427678	1.264252
14	-573.141970	1.148969
15	-573.856261	0.980382
16	-574.570553	0.885368
17	-575.284844	0.782744
18	-575.999136	0.718420
19	-576.713428	0.576264
20	-577.427719	0.473920
21	-578.142011	0.408125
22	-578.856302	0.278454
23	-579.570594	0.220537
24	-580.284886	0.117783
25	-580.999177	0.005034
26	-581.713469	-0.027943
bisection interval found by 1-dim search: [-581.713469,-580.999177]
No.3	 toolpath -508.431816	[r = -581.417708] is calculated within 7.731461s.
-----
initial linear search begins: 
No.	x	f(x)
0	-545.492727	3.546514
1	-546.211226	3.522619
2	-546.929726	3.171595
3	-547.648226	3.019975
4	-548.366725	2.914699
5	-549.085225	2.684719
6	-549.803725	2.516937
7	-550.522224	2.489215
8	-551.240724	2.358162
9	-551.959223	2.231263
10	-552.677723	2.053078
11	-553.396223	1.941585
12	-554.114722	1.768858
13	-554.833222	1.650072
14	-555.551721	1.523039
15	-556.270221	1.348569
16	-556.988721	1.243570
17	-557.707220	1.118931
18	-558.425720	1.054917
19	-559.144220	0.896880
20	-559.862719	0.789645
21	-560.581219	0.705648
22	-561.299718	0.561697
23	-562.018218	0.503146
24	-562.736718	0.389652
25	-563.455217	0.258027
26	-564.173717	0.220880
27	-564.892216	0.121409
28	-565.610716	0.049320
29	-566.329216	-0.070063
bisection interval found by 1-dim search: [-566.329216,-565.610716]
