The time spent in the parallel computing activating process is 0.001094s.
-----
No.1	 toolpath -2200.890749	[r = -2200.000000] is calculated within 0.061250s.
-----
initial linear search begins: 
No.	x	f(x)
48	-2195.557641	-0.001788
bisection interval found by 1-dim search: [-2195.557641,-2195.002820]
No.5	 toolpath -2196.447307	[r = -2195.557099] is calculated within 6.771403s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2167.816060	3.657655
1	-2168.370881	3.321843
2	-2168.925701	2.638886
3	-2169.480522	2.446364
4	-2170.035343	2.342109
5	-2170.590164	1.972516
6	-2171.144985	1.972515
7	-2171.699805	1.972514
8	-2172.254626	1.972513
9	-2172.809447	1.972512
10	-2173.364268	1.972511
11	-2173.919088	1.972510
12	-2174.473909	1.972508
13	-2175.028730	1.963991
14	-2175.583551	1.854427
15	-2176.138372	1.272923
16	-2176.693192	1.112214
17	-2177.248013	1.112213
18	-2177.802834	1.112212
19	-2178.357655	1.112211
20	-2178.912476	1.112211
21	-2179.467296	1.112210
22	-2180.022117	1.112209
23	-2180.576938	1.112208
24	-2181.131759	1.109080
25	-2181.686579	0.913176
26	-2182.241400	0.418702
27	-2182.796221	0.534097
28	-2183.351042	0.418701
29	-2183.905863	0.418700
30	-2184.460683	0.418229
31	-2185.015504	0.377852
32	-2185.570325	0.284792
33	-2186.125146	0.165764
34	-2186.679967	0.133676
35	-2187.234787	0.133676
36	-2187.789608	0.133676
37	-2188.344429	0.133676
38	-2188.899250	0.133676
39	-2189.454070	0.133676
40	-2190.008891	0.133676
41	-2190.563712	0.133676
42	-2191.118533	0.133676
43	-2191.673354	0.133676
44	-2192.228174	0.133676
45	-2192.782995	0.133675
46	-2193.337816	0.133675
47	-2193.892637	0.133675
48	-2194.447458	-0.001788
bisection interval found by 1-dim search: [-2194.447458,-2193.892637]
No.6	 toolpath -2195.337123	[r = -2194.445832] is calculated within 7.333900s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2166.704793	3.657660
1	-2167.259614	3.321848
2	-2167.814434	2.638891
3	-2168.369255	2.446369
4	-2168.924076	2.343293
5	-2169.478897	1.972520
6	-2170.033717	1.972519
7	-2170.588538	1.972518
8	-2171.143359	1.972517
9	-2171.698180	1.972516
10	-2172.253001	1.972515
11	-2172.807821	1.972514
12	-2173.362642	1.972513
13	-2173.917463	1.963995
14	-2174.472284	1.854431
15	-2175.027105	1.276158
16	-2175.581925	1.112216
17	-2176.136746	1.112216
18	-2176.691567	1.112215
19	-2177.246388	1.112214
20	-2177.801209	1.112214
21	-2178.356029	1.112213
22	-2178.910850	1.112212
23	-2179.465671	1.112211
24	-2180.020492	1.109083
25	-2180.575312	0.913179
26	-2181.130133	0.418704
27	-2181.684954	0.534095
28	-2182.239775	0.418703
29	-2182.794596	0.418702
30	-2183.349416	0.418232
31	-2183.904237	0.378396
32	-2184.459058	0.284794
33	-2185.013879	0.165765
34	-2185.568700	0.133677
35	-2186.123520	0.133677
36	-2186.678341	0.133676
37	-2187.233162	0.133676
38	-2187.787983	0.133676
39	-2188.342803	0.133676
40	-2188.897624	0.133676
41	-2189.452445	0.133676
42	-2190.007266	0.133676
43	-2190.562087	0.133676
44	-2191.116907	0.133676
45	-2191.671728	0.133676
46	-2192.226549	0.133676
47	-2192.781370	0.133676
48	-2193.336191	-0.001787
bisection interval found by 1-dim search: [-2193.336191,-2192.781370]
No.7	 toolpath -2194.225856	[r = -2193.335649] is calculated within 7.372490s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2165.594609	3.657666
1	-2166.149430	3.321854
2	-2166.704251	2.638897
3	-2167.259072	2.446374
4	-2167.813893	2.342119
5	-2168.368713	1.972524
6	-2168.923534	1.972523
7	-2169.478355	1.972522
8	-2170.033176	1.972521
9	-2170.587996	1.972520
10	-2171.142817	1.972519
11	-2171.697638	1.972518
12	-2172.252459	1.972517
13	-2172.807280	1.963999
14	-2173.362100	1.854435
15	-2173.916921	1.272931
16	-2174.471742	1.112219
17	-2175.026563	1.112219
18	-2175.581384	1.112218
19	-2176.136204	1.112217
20	-2176.691025	1.112216
21	-2177.245846	1.112216
22	-2177.800667	1.112215
23	-2178.355487	1.112214
24	-2178.910308	1.109085
25	-2179.465129	0.913182
26	-2180.019950	0.418706
27	-2180.574771	0.534093
28	-2181.129591	0.418705
29	-2181.684412	0.418705
30	-2182.239233	0.418234
31	-2182.794054	0.377856
32	-2183.348875	0.284796
33	-2183.903695	0.165767
34	-2184.458516	0.133677
35	-2185.013337	0.133677
36	-2185.568158	0.133677
37	-2186.122979	0.133677
38	-2186.677799	0.133677
39	-2187.232620	0.133677
40	-2187.787441	0.133676
41	-2188.342262	0.133676
42	-2188.897082	0.133676
43	-2189.451903	0.133676
44	-2190.006724	0.133676
45	-2190.561545	0.133676
46	-2191.116366	0.133676
47	-2191.671186	0.133676
48	-2192.226007	-0.001787
bisection interval found by 1-dim search: [-2192.226007,-2191.671186]
No.8	 toolpath -2193.115673	[r = -2192.224382] is calculated within 8.387122s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2164.483342	3.657671
1	-2165.038163	3.321859
2	-2165.592984	2.638902
3	-2166.147805	2.446380
4	-2166.702625	2.343303
5	-2167.257446	1.972528
6	-2167.812267	1.972527
7	-2168.367088	1.972526
8	-2168.921909	1.972525
9	-2169.476729	1.972524
10	-2170.031550	1.972523
11	-2170.586371	1.972522
12	-2171.141192	1.972521
13	-2171.696013	1.964003
14	-2172.250833	1.854439
15	-2172.805654	1.276166
16	-2173.360475	1.112222
17	-2173.915296	1.112222
18	-2174.470117	1.112221
19	-2175.024937	1.112220
20	-2175.579758	1.112219
21	-2176.134579	1.112219
22	-2176.689400	1.112218
23	-2177.244220	1.112217
24	-2177.799041	1.109088
25	-2178.353862	0.913185
26	-2178.908683	0.418708
27	-2179.463504	0.534091
28	-2180.018324	0.418707
29	-2180.573145	0.418707
30	-2181.127966	0.418236
31	-2181.682787	0.378400
32	-2182.237608	0.284798
33	-2182.792428	0.165769
34	-2183.347249	0.133677
35	-2183.902070	0.133677
36	-2184.456891	0.133677
37	-2185.011711	0.133677
38	-2185.566532	0.133677
39	-2186.121353	0.133677
40	-2186.676174	0.133677
41	-2187.230995	0.133677
42	-2187.785815	0.133677
43	-2188.340636	0.133677
44	-2188.895457	0.133676
45	-2189.450278	0.133676
46	-2190.005099	0.133676
47	-2190.559919	0.133676
48	-2191.114740	-0.001787
bisection interval found by 1-dim search: [-2191.114740,-2190.559919]
No.9	 toolpath -2192.004406	[r = -2191.114198] is calculated within 7.925532s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2163.373159	3.657677
1	-2163.927980	3.321865
2	-2164.482801	2.638907
3	-2165.037621	2.446385
4	-2165.592442	2.342129
5	-2166.147263	1.972532
6	-2166.702084	1.972531
7	-2167.256904	1.972530
8	-2167.811725	1.972529
9	-2168.366546	1.972528
10	-2168.921367	1.972527
11	-2169.476188	1.972526
12	-2170.031008	1.972525
13	-2170.585829	1.964007
14	-2171.140650	1.854443
15	-2171.695471	1.272939
16	-2172.250292	1.112225
17	-2172.805112	1.112224
18	-2173.359933	1.112224
19	-2173.914754	1.112223
20	-2174.469575	1.112222
