The time spent in the parallel computing activating process is 0.000986s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.029967s.
-----
initial linear search begins: 
No.	x	f(x)
0	-568.344755	6.578090
1	-568.977860	6.256934
2	-569.610965	5.915132
3	-570.244069	5.577186
4	-570.877174	5.265569
5	-571.510279	4.996218
6	-572.143384	4.771463
7	-572.776489	4.583727
8	-573.409594	4.426923
9	-574.042699	4.292119
10	-574.675804	4.169970
11	-575.308909	4.053721
12	-575.942014	3.935438
13	-576.575118	3.808729
14	-577.208223	3.666653
15	-577.841328	3.508875
16	-578.474433	3.339301
17	-579.107538	3.157708
18	-579.740643	2.969861
19	-580.373748	2.773532
20	-581.006853	2.574669
21	-581.639958	2.371321
22	-582.273063	2.169052
23	-582.906168	1.967838
24	-583.539272	1.773194
25	-584.172377	1.584645
26	-584.805482	1.406109
27	-585.438587	1.239101
28	-586.071692	1.085084
29	-586.704797	0.944030
30	-587.337902	0.815016
31	-587.971007	0.695873
32	-588.604112	0.585929
33	-589.237217	0.483134
34	-589.870322	0.436920
35	-590.503426	0.341082
36	-591.136531	0.248095
37	-591.769636	0.157791
38	-592.402741	0.069320
39	-593.035846	-0.017454
bisection interval found by 1-dim search: [-593.035846,-592.402741]
No.2	 toolpath -510.798438	[r = -592.904155] is calculated within 8.534778s.
-----
initial linear search begins: 
No.	x	f(x)
0	-561.172024	6.782257
1	-561.806666	6.457027
2	-562.441309	6.111958
3	-563.075951	5.769533
4	-563.710594	5.450264
5	-564.345237	5.174876
6	-564.979879	4.944442
7	-565.614522	4.751396
8	-566.249165	4.589709
9	-566.883807	4.449591
10	-567.518450	4.323383
11	-568.153093	4.203415
12	-568.787735	4.081730
13	-569.422378	3.951009
14	-570.057020	3.805909
15	-570.691663	3.645005
16	-571.326306	3.470926
17	-571.960948	3.287222
18	-572.595591	3.094525
19	-573.230234	2.894552
20	-573.864876	2.691986
21	-574.499519	2.484793
22	-575.134162	2.278593
23	-575.768804	2.073301
24	-576.403447	1.873453
25	-577.038089	1.680926
26	-577.672732	1.498446
27	-578.307375	1.327524
28	-578.942017	1.169637
29	-579.576660	1.023931
30	-580.211303	0.891154
31	-580.845945	0.768242
32	-581.480588	0.654551
33	-582.115231	0.547274
34	-582.749873	0.445369
35	-583.384516	0.347117
36	-584.019158	0.251619
37	-584.653801	0.158013
38	-585.288444	0.066903
39	-585.923086	-0.023971
bisection interval found by 1-dim search: [-585.923086,-585.288444]
No.3	 toolpath -503.987867	[r = -585.751411] is calculated within 8.381848s.
-----
initial linear search begins: 
No.	x	f(x)
0	-553.942886	6.820783
1	-554.579057	6.479696
2	-555.215227	6.129178
3	-555.851398	5.789572
4	-556.487568	5.638194
5	-557.123739	5.354739
6	-557.759909	5.118591
7	-558.396080	4.920200
8	-559.032250	4.753597
9	-559.668421	4.608076
10	-560.304591	4.478586
11	-560.940762	4.354068
12	-561.576932	4.228956
13	-562.213103	4.095102
14	-562.849273	3.946018
15	-563.485444	3.781981
16	-564.121614	3.604635
17	-564.757785	3.416193
18	-565.393955	3.219949
19	-566.030126	3.017754
20	-566.666296	2.810031
21	-567.302467	2.598976
22	-567.938637	2.387478
23	-568.574807	2.179432
24	-569.210978	1.975471
25	-569.847148	1.778860
26	-570.483319	1.591343
27	-571.119489	1.416491
28	-571.755660	1.254720
29	-572.391830	1.105151
