The time spent in the parallel computing activating process is 0.000223s.
-----
No.1	 toolpath -3218.237076	[r = -3300.000000] is calculated within 0.029801s.
-----
initial linear search begins: 
No.	x	f(x)
0	-3274.745099	4.769347
1	-3275.250197	4.674613
2	-3275.755295	4.578072
3	-3276.260393	4.476850
4	-3276.765491	4.366644
5	-3277.270589	4.247314
6	-3277.775687	4.116982
7	-3278.280785	3.978659
8	-3278.785883	3.832878
9	-3279.290981	3.682708
10	-3279.796079	3.525598
11	-3280.301177	3.365975
12	-3280.806275	3.202647
13	-3281.311373	3.037421
14	-3281.816471	2.870904
15	-3282.321569	2.704120
16	-3282.826667	2.539971
17	-3283.331765	2.378011
18	-3283.836863	2.221046
19	-3284.341962	2.068900
20	-3284.847060	1.923238
21	-3285.352158	1.786095
22	-3285.857256	1.655278
23	-3286.362354	1.534040
24	-3286.867452	1.420030
25	-3287.372550	1.312871
26	-3287.877648	1.212325
27	-3288.382746	1.116868
28	-3288.887844	1.026309
29	-3289.392942	0.938902
30	-3289.898040	0.854564
31	-3290.403138	0.771622
32	-3290.908236	0.690829
33	-3291.413334	0.611343
34	-3291.918432	0.533126
35	-3292.423530	0.455363
36	-3292.928628	0.378031
37	-3293.433726	0.301106
38	-3293.938824	0.223029
39	-3294.443922	0.144575
40	-3294.949020	0.066144
41	-3295.454118	-0.012849
bisection interval found by 1-dim search: [-3295.454118,-3294.949020]
No.2	 toolpath -3213.610299	[r = -3295.372237] is calculated within 8.038665s.
-----
initial linear search begins: 
No.	x	f(x)
0	-3270.110755	4.785964
1	-3270.615984	4.691708
2	-3271.121214	4.594872
3	-3271.626444	4.493391
4	-3272.131673	4.382954
5	-3272.636903	4.262269
6	-3273.142133	4.132830
7	-3273.647362	3.994250
8	-3274.152592	3.848197
9	-3274.657821	3.696335
10	-3275.163051	3.540330
11	-3275.668281	3.380391
12	-3276.173510	3.216730
13	-3276.678740	3.049719
14	-3277.183970	2.884271
15	-3277.689199	2.717100
16	-3278.194429	2.552545
17	-3278.699659	2.390176
18	-3279.204888	2.231683
19	-3279.710118	2.080265
20	-3280.215347	1.934212
21	-3280.720577	1.795736
22	-3281.225807	1.665497
23	-3281.731036	1.543016
24	-3282.236266	1.428674
25	-3282.741496	1.321182
26	-3283.246725	1.220304
27	-3283.751955	1.125339
28	-3284.257185	1.033623
29	-3284.762414	0.945882
30	-3285.267644	0.861213
31	-3285.772874	0.778739
32	-3286.278103	0.697608
33	-3286.783333	0.617784
34	-3287.288562	0.539232
35	-3287.793792	0.461132
36	-3288.299022	0.382684
37	-3288.804251	0.305429
38	-3289.309481	0.227017
39	-3289.814711	0.148230
40	-3290.319940	0.069468
41	-3290.825170	-0.009123
bisection interval found by 1-dim search: [-3290.825170,-3290.319940]
No.3	 toolpath -3209.001066	[r = -3290.763003] is calculated within 7.855251s.
-----
initial linear search begins: 
No.	x	f(x)
0	-3265.494977	4.803317
1	-3266.000337	4.707925
2	-3266.505698	4.611610
3	-3267.011058	4.508946
4	-3267.516419	4.399204
5	-3268.021780	4.278297
6	-3268.527140	4.147393
7	-3269.032501	4.008483
8	-3269.537861	3.863463
9	-3270.043222	3.711315
10	-3270.548582	3.553569
11	-3271.053943	3.393301
12	-3271.559303	3.229309
13	-3272.064664	3.063404
14	-3272.570024	2.896188
15	-3273.075385	2.728685
16	-3273.580745	2.563800
17	-3274.086106	2.401100
