The time spent in the parallel computing activating process is 0.000325s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.027570s.
-----
initial linear search begins: 
No.	x	f(x)
0	-574.964400	4.416930
1	-575.465112	4.324989
2	-575.965824	4.231184
3	-576.466536	4.131216
4	-576.967248	4.022726
5	-577.467960	3.903446
6	-577.968672	3.776198
7	-578.469384	3.640594
8	-578.970096	3.498226
9	-579.470808	3.350685
10	-579.971520	3.198186
11	-580.472232	3.043664
12	-580.972944	2.884604
13	-581.473656	2.725528
14	-581.974368	2.564327
15	-582.475080	2.404725
16	-582.975792	2.246918
17	-583.476504	2.091532
18	-583.977216	1.941181
19	-584.477928	1.796742
20	-584.978640	1.658720
21	-585.479352	1.529080
22	-585.980064	1.406669
23	-586.480776	1.292818
24	-586.981488	1.186234
25	-587.482200	1.086561
26	-587.982912	0.993551
27	-588.483624	0.906531
28	-588.984336	0.823741
29	-589.485048	0.798106
30	-589.985760	0.719119
31	-590.486472	0.643286
32	-590.987184	0.569772
33	-591.487896	0.497779
34	-591.988608	0.427231
35	-592.489320	0.357367
36	-592.990032	0.288812
37	-593.490744	0.220141
38	-593.991456	0.151306
39	-594.492168	0.082926
40	-594.992880	0.013676
41	-595.493592	-0.055826
bisection interval found by 1-dim search: [-595.493592,-594.992880]
No.2	 toolpath -512.987533	[r = -595.091653] is calculated within 6.852205s.
-----
initial linear search begins: 
No.	x	f(x)
0	-570.013898	4.521745
1	-570.515453	4.428600
2	-571.017009	4.332183
3	-571.518564	4.230495
4	-572.020119	4.120404
5	-572.521674	3.999501
6	-573.023229	3.869386
7	-573.524784	3.731965
8	-574.026339	3.587732
9	-574.527894	3.438285
10	-575.029449	3.285220
11	-575.531004	3.127327
12	-576.032560	2.966215
13	-576.534115	2.805061
14	-577.035670	2.641709
15	-577.537225	2.479913
16	-578.038780	2.318642
17	-578.540335	2.162208
18	-579.041890	2.009616
19	-579.543445	1.862956
20	-580.045000	1.722728
21	-580.546555	1.590015
22	-581.048111	1.465484
23	-581.549666	1.349538
24	-582.051221	1.240866
25	-582.552776	1.139112
26	-583.054331	1.044039
27	-583.555886	0.954209
28	-584.057441	0.869380
29	-584.558996	0.787871
30	-585.060551	0.708819
31	-585.562106	0.632127
32	-586.063662	0.557702
33	-586.565217	0.484028
34	-587.066772	0.411765
35	-587.568327	0.340848
36	-588.069882	0.269813
37	-588.571437	0.199318
38	-589.072992	0.127925
39	-589.574547	0.105387
40	-590.076102	0.034097
41	-590.577657	-0.036780
bisection interval found by 1-dim search: [-590.577657,-590.076102]
No.3	 toolpath -508.211985	[r = -590.318063] is calculated within 6.883340s.
-----
initial linear search begins: 
No.	x	f(x)
0	-565.199710	4.623703
1	-565.702077	4.527860
2	-566.204444	4.430437
3	-566.706811	4.326174
4	-567.209178	4.214436
5	-567.711545	4.091871
6	-568.213912	3.960041
7	-568.716279	3.820865
8	-569.218647	3.674828
9	-569.721014	3.523537
10	-570.223381	3.367186
11	-570.725748	3.207343
12	-571.228115	3.045661
13	-571.730482	2.881088
14	-572.232849	2.715682
15	-572.735216	2.551807
16	-573.237583	2.388401
17	-573.739950	2.229853
18	-574.242317	2.075146
19	-574.744684	1.926387
20	-575.247051	1.784069
21	-575.749418	1.649279
22	-576.251786	1.522690
23	-576.754153	1.403868
24	-577.256520	1.293194
25	-577.758887	1.189441
