//X Y Z Nx Ny Nz
-1.83357620 -2.84961104 3.67267013 -0.364572 -0.577103 0.730780
-1.91931033 -2.92549396 3.56816745 -0.375612 -0.595403 0.710219
-1.59246111 -2.60730600 3.95438814 -0.309381 -0.521981 0.794871
-2.53032804 -3.27393174 2.80315876 -0.519544 -0.654053 0.549808
-1.30824447 -2.37494564 4.19740057 -0.264286 -0.480661 0.836133
-2.04397845 -2.87842917 3.53731489 -0.416503 -0.585759 0.695278
-0.63205880 -1.58837104 4.69563437 -0.137077 -0.310799 0.940539
-0.77649117 -1.72840703 4.62375593 -0.150986 -0.336602 0.929464
-1.81013834 -2.60640359 3.86069608 -0.361844 -0.533841 0.764253
-2.57448697 -3.07027698 2.98679566 -0.520782 -0.621904 0.584826
-2.55725431 -3.22263169 2.83849025 -0.528449 -0.633125 0.565592
-0.23505512 -0.82742101 4.92255783 -0.036105 -0.173539 0.984165
-1.35498559 -2.24262691 4.25586319 -0.266540 -0.434079 0.860542
-2.20840740 -2.82980824 3.47771716 -0.429093 -0.561632 0.707424
-0.70262629 -1.35521364 4.75847483 -0.138509 -0.257231 0.956372
-2.83780026 -3.06982875 2.73753953 -0.569905 -0.613874 0.546230
-1.48386228 -2.24494791 4.21223879 -0.320750 -0.449050 0.833950
-0.95352292 -1.37326491 4.70893764 -0.195132 -0.280935 0.939680
-1.99334240 -2.59094453 3.78156400 -0.417854 -0.499786 0.758691
-0.84054792 -1.12194955 4.79677057 -0.150564 -0.226501 0.962303
-1.67886627 -1.99928486 4.26137352 -0.319340 -0.399561 0.859287
-1.43656516 -1.94145083 4.37601328 -0.309375 -0.376432 0.873262
-2.59235358 -2.76336384 3.25798082 -0.519544 -0.549808 0.654053
-1.17891252 -1.54683495 4.60354853 -0.252350 -0.304262 0.918555
-1.42740667 -1.57031250 4.52558756 -0.264991 -0.329408 0.906239
-2.43728042 -2.54418421 3.54469299 -0.477986 -0.524619 0.704488
-2.06305385 -2.40110016 3.86718273 -0.429082 -0.474764 0.768432
-3.19905400 -2.81627226 2.61268401 -0.622145 -0.578308 0.527727
-1.54261672 -1.69046319 4.44247341 -0.308711 -0.326607 0.893323
-1.54026842 -1.77275491 4.41111898 -0.319755 -0.350063 0.880462
-0.23190399 0.06802559 4.99156761 -0.035367 0.001010 0.999374
-2.09902239 -2.12849784 4.00445747 -0.427921 -0.427921 0.796095
-3.00407624 -2.67781496 2.96542311 -0.617045 -0.539280 0.573091
-3.06100178 -2.81359220 2.77342010 -0.623707 -0.552716 0.552716
-0.82037121 -0.67580384 4.88388062 -0.152408 -0.115830 0.981507
-1.97907770 -1.84452200 4.20281744 -0.375230 -0.365888 0.851662
-0.57601565 -0.16862534 4.96170712 -0.095026 -0.029491 0.995038
-0.07538956 0.44319895 4.97756529 -0.027088 0.087767 0.995773
-1.26243389 -1.05022299 4.71980095 -0.252291 -0.195014 0.947797
-0.77086812 -0.13280837 4.93581629 -0.138836 -0.028219 0.989913
-2.91802144 -2.41957402 3.25634098 -0.576775 -0.489334 0.654127
-0.30576098 0.38561326 4.97421741 -0.080796 0.058660 0.995003
-0.57093799 0.16383438 4.96232796 -0.095026 0.029491 0.995038
-1.70472157 -1.21420693 4.53868914 -0.319622 -0.244417 0.915479
-1.48746860 -1.19143534 4.62038040 -0.307647 -0.219748 0.925777
-1.14530277 -0.55884439 4.83451843 -0.209186 -0.085407 0.974139
-2.80173540 -2.09294796 3.57105041 -0.570108 -0.430490 0.699754
-1.20030391 -0.55058545 4.82090807 -0.264584 -0.110787 0.957978
-2.36931610 -1.63832068 4.08323908 -0.469352 -0.327124 0.820182
-0.86757874 0.18748055 4.91947937 -0.152949 0.057210 0.986577
-1.85141742 -0.89198762 4.55510283 -0.364097 -0.187046 0.912385
-2.61511660 -1.71837699 3.89617181 -0.520906 -0.338188 0.783764
-2.63117766 -1.77715886 3.85875440 -0.529493 -0.357853 0.769141
-1.22960114 -0.10937354 4.84209013 -0.252472 -0.028052 0.967198
-2.29694390 -1.52298689 4.16981316 -0.480357 -0.298854 0.824587
-3.36580896 -2.10846353 3.03388834 -0.660886 -0.431157 0.614274
-2.10712647 -1.15995407 4.38010836 -0.426867 -0.235151 0.873206
-2.99905205 -1.90437734 3.51761627 -0.615861 -0.394614 0.681905
-1.80161524 -0.62818003 4.61851263 -0.362027 -0.134546 0.922406
-1.94026101 -0.83133399 4.52983093 -0.375135 -0.159963 0.913064
-2.96024513 -1.73388815 3.63552332 -0.576414 -0.367402 0.729906
-1.56191862 -0.40382499 4.72944593 -0.319873 -0.082930 0.943824
-3.35382438 -1.99632633 3.12122345 -0.667927 -0.409374 0.621520
-0.92407298 0.46968219 4.88936901 -0.194353 0.114104 0.974273
-1.83183086 -0.35501614 4.63570881 -0.362979 -0.081704 0.928208
-1.70335507 -0.21973456 4.69435453 -0.319907 -0.026554 0.947077
-3.48347306 -1.97538161 2.98982882 -0.704483 -0.391013 0.592294
-1.25455534 0.44863170 4.81594419 -0.252695 0.085078 0.963798
-2.88661337 -1.34822810 3.85014272 -0.578678 -0.280619 0.765758
-3.80733848 -1.87792563 2.63928819 -0.748723 -0.394841 0.532461
-1.48592734 0.38784087 4.75659752 -0.308819 0.055101 0.949523
-2.74751139 -1.08192289 4.03309441 -0.528771 -0.219172 0.819979
-1.43218434 0.45759109 4.76753855 -0.264584 0.110787 0.957978
-2.28376698 -0.55630416 4.41106939 -0.469191 -0.127700 0.873815
-1.05786884 1.10736775 4.75827789 -0.212287 0.196266 0.957295
-3.72817540 -1.71296346 2.85339880 -0.745866 -0.349371 0.567118
-3.77678275 -1.75270510 2.76470399 -0.749290 -0.362455 0.554247
-2.73071527 -0.82691222 4.10373735 -0.528659 -0.172226 0.831178
-2.42346478 -0.59361583 4.33047676 -0.478106 -0.100728 0.872507
-3.22349811 -1.39238596 3.55742884 -0.661887 -0.275919 0.696975
-1.88767350 0.27960926 4.61819744 -0.374721 0.054288 0.925547
-2.94012451 -0.98229390 3.92036319 -0.577828 -0.187527 0.794323
-2.76088500 -0.87172890 4.07432413 -0.569949 -0.166924 0.804546
-1.45879793 0.81329525 4.71022272 -0.306995 0.163823 0.937505
-3.56145573 -1.52723408 3.15595269 -0.709525 -0.297647 0.638734
-1.39347434 1.16918743 4.65491724 -0.266232 0.221628 0.938084
-2.48955107 -0.13421278 4.33353186 -0.479869 -0.050874 0.875864
-3.21816087 -1.15352607 3.64715981 -0.661333 -0.237200 0.711600
-2.04592490 0.19540918 4.55541086 -0.417886 0.052404 0.906987
-2.93543077 -0.78885972 3.96783829 -0.577946 -0.141144 0.803776
-3.75442600 -1.50178599 2.93664575 -0.749248 -0.295546 0.592689
-1.64595056 1.11128783 4.58660126 -0.307647 0.219748 0.925777
-2.64159489 -0.30199832 4.23156071 -0.530413 -0.074965 0.844418
-3.62174320 -1.24287307 3.21312737 -0.709482 -0.258715 0.655517
-3.33361912 -1.11257470 3.55304265 -0.667151 -0.213053 0.713805
-1.50405991 1.40304458 4.55415010 -0.307737 0.272734 0.911545
-3.45354605 -1.13800538 3.43054438 -0.709771 -0.219951 0.669213
-2.45970035 0.18085626 4.34715176 -0.479869 0.050874 0.875864
-3.20760417 -0.59077650 3.78802800 -0.623352 -0.113471 0.773664
-4.02918005 -1.22359395 2.69359374 -0.815806 -0.243039 0.524778
-1.71205795 1.12665570 4.55947256 -0.362607 0.242228 0.899912
-1.67260087 1.42680049 4.48813200 -0.318711 0.297958 0.899803
-2.29795694 0.67801416 4.38561487 -0.469191 0.127700 0.873815
-2.03886104 1.02693176 4.44530487 -0.417561 0.210994 0.883813
-3.17165351 -0.23583645 3.85615325 -0.616207 -0.046747 0.786196
-3.71308827 -0.98061681 3.19813538 -0.748906 -0.189149 0.635109
-3.71057463 -0.82586092 3.24428439 -0.745009 -0.172160 0.644455
-2.64042211 0.53041542 4.20960712 -0.520802 0.098995 0.847918
-3.53495312 -0.70627886 3.46107268 -0.708814 -0.142967 0.690755
-2.30342054 0.74191827 4.37330437 -0.480639 0.153396 0.863398
-3.35835767 -0.34784603 3.68486142 -0.661088 -0.064813 0.747504
-2.04576564 1.20384634 4.39842510 -0.426867 0.235151 0.873206
-3.02241349 0.00719403 3.98023558 -0.615457 0.001371 0.788169
-2.75928354 0.43957064 4.14500141 -0.568594 0.072677 0.819402
-2.96750736 0.29655010 4.01139688 -0.578214 0.046426 0.814564
-2.74290228 0.53951526 4.14413071 -0.528410 0.123732 0.839925
