//X Y Z Nx Ny Nz
0.14223671 0.92308789 4.90859556 0.011016 0.285196 0.958406
0.27550006 0.89867806 4.90968800 0.044634 0.213520 0.975919
0.28629687 0.99365002 4.88004827 0.021826 0.358205 0.933388
0.27226269 1.00522685 4.87508631 0.011828 0.429750 0.902870
0.46912697 1.00444901 4.86882877 0.040358 0.363219 0.930829
0.15389988 1.16274178 4.75571394 -0.044027 0.734254 0.677445
0.30975085 1.16071391 4.76879358 -0.047050 0.677233 0.734263
0.04179334 1.26778948 4.53640795 -0.036854 0.978424 0.203293
0.72446418 1.08132434 4.82230425 0.095975 0.303703 0.947921
0.42911154 1.27207625 4.64861393 -0.160924 0.848911 0.503441
0.72534657 1.20891058 4.75963783 -0.037488 0.553990 0.831679
0.98298323 1.29742563 4.70789194 0.047407 0.442914 0.895310
0.87589842 1.28027475 4.71905518 0.001336 0.498295 0.867007
0.59971184 1.37790859 4.53782940 -0.325263 0.858633 0.396174
0.97414643 1.43453240 4.61953592 -0.152127 0.631102 0.760636
1.24109054 1.53261578 4.57274437 0.064536 0.454501 0.888405
0.76698965 1.47953165 4.47270918 -0.377483 0.829200 0.412231
1.50054348 1.74941742 4.43283701 0.210061 0.401026 0.891657
1.19789863 1.72500801 4.43861437 -0.254255 0.614318 0.746973
1.60796499 2.03831387 4.26802492 0.226932 0.443343 0.867150
1.36376405 1.95698273 4.31629562 -0.213342 0.547936 0.808858
1.50856888 2.06123519 4.26808214 0.004017 0.499448 0.866335
1.33367729 1.97843242 4.29289246 -0.283830 0.559732 0.778550
1.10586035 1.85534453 4.25272894 -0.575198 0.619054 0.534714
1.49525189 2.27881837 4.14029074 -0.071608 0.504061 0.860694
1.65275002 2.42096615 4.04571819 0.233557 0.493064 0.838057
1.33604276 2.12282825 4.19303751 -0.367538 0.513258 0.775553
1.59441006 2.43423867 4.04958487 0.080402 0.500748 0.861851
1.67850327 2.52783251 3.97249794 0.304909 0.510288 0.804138
1.42992520 2.34625959 4.08873081 -0.223719 0.491573 0.841609
1.52451968 2.57541537 3.97123599 0.004012 0.501454 0.865175
1.21175253 2.22043777 4.03583765 -0.631678 0.435008 0.641678
1.57671130 2.82843781 3.80651689 0.220280 0.549930 0.805639
1.37964511 2.51411200 3.98020887 -0.295808 0.441389 0.847156
1.53444099 2.85676074 3.79841828 0.146451 0.542902 0.826928
1.40688419 2.75908136 3.86088181 -0.142546 0.453556 0.879754
1.46282160 3.01074147 3.70777464 0.207441 0.579299 0.788277
1.44487834 2.99517250 3.72192359 0.140535 0.557700 0.818059
1.26435065 2.75974751 3.82134104 -0.347459 0.347459 0.870944
1.11170316 2.55464673 3.77535748 -0.721242 0.166206 0.672448
1.07637024 2.72005844 3.71577549 -0.629992 0.110654 0.768678
1.15784538 3.42478800 3.45234752 0.206698 0.672936 0.710235
1.07312810 3.03145695 3.65691733 -0.363277 0.229054 0.903086
0.87809700 2.94993305 3.56309366 -0.560547 -0.093665 0.822808
0.80190748 3.03133059 3.52621722 -0.505180 -0.144965 0.850752
0.77096170 3.38595986 3.48530889 -0.117062 0.318893 0.940534
0.75937527 3.35405684 3.49251223 -0.153157 0.254374 0.954901
0.68806094 3.22571087 3.49012685 -0.296036 -0.018580 0.954996
0.44594967 3.47683787 3.41832685 -0.094686 0.231035 0.968327
0.50726497 3.22801995 3.43074298 -0.288264 -0.186199 0.939273
0.31096441 3.52003717 3.39664793 -0.062727 0.222620 0.972885
0.42699459 3.31175995 3.42228556 -0.231117 -0.127824 0.964493
0.30979183 3.51570296 3.39756823 -0.062727 0.222620 0.972885
0.19358014 3.58112502 3.37512374 -0.033881 0.294887 0.954931
0.19497859 3.54181004 3.38541627 -0.047301 0.221950 0.973910
0.26843750 3.27495790 3.38243222 -0.159755 -0.299028 0.940777
0.94787353 2.80767679 3.60327387 0.620353 0.018042 -0.784115
0.46219334 3.13122106 3.39009500 0.296840 0.267880 -0.916584
0.40879449 3.17841816 3.38663077 0.288687 0.262835 -0.920640
0.52234882 2.95449495 3.37380242 0.361891 0.137269 -0.922059
0.42015141 3.06869292 3.36071301 0.266232 0.221628 -0.938084
0.82715446 2.53771067 3.53178549 0.560102 -0.153841 -0.814014
0.65197498 2.68234801 3.41582608 0.435100 -0.055574 -0.898665
0.97136045 2.27700424 3.72447968 0.634410 -0.329374 -0.699311
0.36865246 2.79786682 3.31084991 0.266027 0.061779 -0.961984
0.74463272 2.44286036 3.49974823 0.490832 -0.199635 -0.848074
0.38547549 2.70982170 3.31592298 0.267410 -0.018316 -0.963409
0.66623259 2.33736300 3.48610973 0.433933 -0.277533 -0.857133
1.03206038 2.07028294 3.91555309 0.687031 -0.463035 -0.559988
1.01652014 2.00636888 3.95067358 0.692835 -0.482480 -0.535904
0.16731632 2.64666247 3.27772593 0.130479 -0.061198 -0.989561
0.13063140 2.76272225 3.26986909 0.108483 -0.020820 -0.993880
0.28270343 2.51981449 3.31001186 0.189668 -0.143842 -0.971254
0.70753354 1.99317527 3.67938256 0.505380 -0.492036 -0.708866
0.20729798 2.59950972 3.28648210 0.109056 -0.104366 -0.988542
0.24715826 2.43625164 3.31865406 0.188588 -0.223364 -0.956317
0.33590949 2.34137559 3.36125135 0.208247 -0.263412 -0.941938
0.36134565 2.07760859 3.47214866 0.285395 -0.442748 -0.850014
0.38504013 2.13779449 3.45107889 0.267538 -0.409620 -0.872144
0.11167268 2.32014680 3.33169913 0.051279 -0.268904 -0.961801
0.14363490 2.33882022 3.32961798 0.108136 -0.267082 -0.957587
0.44641805 1.98769259 3.55304503 0.287329 -0.513424 -0.808603
