//X Y Z Nx Ny Nz
0.04756151 3.82721496 3.21589994 0.015325 0.737010 0.675708
0.06928217 0.95997202 4.89689636 0.008887 0.359305 0.933178
0.06304794 1.00102293 4.87902546 0.003911 0.428867 0.903359
0.11782445 1.03326976 4.86160707 0.001333 0.497143 0.867668
0.11688998 1.06677401 4.84035683 -0.004077 0.561264 0.827627
0.36411199 1.00908411 4.87159014 0.032399 0.361568 0.931783
0.36150813 1.02208781 4.86558628 0.017124 0.430740 0.902314
0.28401977 1.06969202 4.84028387 -0.009570 0.561910 0.827143
0.29662198 1.11381745 4.80899525 -0.032230 0.620775 0.783326
0.07083352 1.21203542 4.68262577 -0.025757 0.871684 0.489390
0.44096690 1.08651114 4.83087921 0.001333 0.497143 0.867668
0.41529468 1.12530744 4.80534792 -0.017867 0.559360 0.828732
0.56475198 1.03876483 4.85023403 0.056816 0.366002 0.928878
0.02772449 1.24111211 4.62157440 -0.032176 0.935686 0.351365
0.51155555 1.09065020 4.82841444 0.001333 0.497143 0.867668
0.74250203 1.01352406 4.83882904 0.136011 0.224094 0.965030
0.11118330 1.26446807 4.56069756 -0.033541 0.960277 0.277027
0.09435423 1.27208650 4.52686357 -0.042336 0.973721 0.223774
0.52928519 1.12028706 4.81141758 0.001333 0.497143 0.867668
0.33449751 1.19942033 4.72937918 -0.097857 0.775551 0.623654
0.72917128 1.11480939 4.80883360 0.070943 0.373453 0.924932
0.12189224 1.25631511 4.58991528 -0.092920 0.930551 0.354175
0.22284649 1.26648831 4.58978176 -0.092920 0.930551 0.354175
0.68099523 1.16594696 4.78500605 0.001333 0.497143 0.867668
0.61873829 1.13300002 4.80399036 0.001333 0.497143 0.867668
0.92012221 1.12569165 4.78278685 0.160963 0.243440 0.956466
0.44068107 1.23301256 4.70584440 -0.116694 0.769590 0.627785
0.57367224 1.18453002 4.76901960 -0.061460 0.613176 0.787552
0.62587070 1.20466280 4.75750542 -0.061460 0.613176 0.787552
0.47909570 1.24959290 4.69322348 -0.135907 0.763170 0.631744
0.85077703 1.22730160 4.74947405 0.041744 0.437643 0.898179
0.81072563 1.16931427 4.77962112 0.041744 0.437643 0.898179
0.37962192 1.32559609 4.48744774 -0.207073 0.944858 0.253699
0.27216044 1.29685938 4.50782967 -0.193586 0.957247 0.214947
1.02377868 1.17589271 4.74946165 0.183494 0.262328 0.947372
0.81045735 1.26366448 4.72707033 -0.037488 0.553990 0.831679
