The time spent in the parallel computing activating process is 0.000209s.
-----
No.1	 toolpath -516.536235	[r = -600.000000] is calculated within 0.030055s.
-----
initial linear search begins: 
No.	x	f(x)
30	-568.149528	1.896658
31	-568.857860	1.671237
32	-569.566193	1.615717
33	-570.274526	1.488318
34	-570.982859	1.485049
35	-571.691192	1.339047
36	-572.399525	1.066916
37	-573.107858	0.716602
38	-573.816191	0.611096
39	-574.524524	0.551214
40	-575.232856	0.441217
41	-575.941189	0.308768
42	-576.649522	0.223123
43	-577.357855	0.202892
44	-578.066188	-0.016633
bisection interval found by 1-dim search: [-578.066188,-577.357855]
No.6	 toolpath -494.130662	[r = -577.595119] is calculated within 11.082349s.
-----
initial linear search begins: 
No.	x	f(x)
0	-542.123461	5.867892
1	-542.832894	5.600965
2	-543.542327	5.407303
3	-544.251760	5.144148
4	-544.961193	4.859431
5	-545.670627	4.717502
6	-546.380060	4.651767
7	-547.089493	4.399897
8	-547.798926	4.337235
9	-548.508359	4.329433
10	-549.217792	4.321629
11	-549.927226	4.313824
12	-550.636659	4.262673
13	-551.346092	3.879284
14	-552.055525	3.608673
15	-552.764958	3.456495
16	-553.474391	3.239790
17	-554.183825	3.193857
18	-554.893258	3.079938
19	-555.602691	2.657595
20	-556.312124	2.443436
21	-557.021557	2.283158
22	-557.730990	2.171086
23	-558.440424	1.989696
24	-559.149857	1.983970
25	-559.859290	1.971007
26	-560.568723	1.966968
27	-561.278156	1.962928
28	-561.987589	1.958886
29	-562.697023	1.954844
30	-563.406456	1.950800
31	-564.115889	1.727046
32	-564.825322	1.667641
33	-565.534755	1.532030
34	-566.244188	1.528761
35	-566.953622	1.381993
36	-567.663055	1.108746
37	-568.372488	0.754399
38	-569.081921	0.642024
39	-569.791354	0.583135
40	-570.500787	0.467919
41	-571.210221	0.334360
42	-571.919654	0.242789
43	-572.629087	0.223181
44	-573.338520	-0.004682
bisection interval found by 1-dim search: [-573.338520,-572.629087]
No.7	 toolpath -489.429973	[r = -572.894431] is calculated within 11.119580s.
-----
initial linear search begins: 
No.	x	f(x)
0	-537.368526	6.008637
1	-538.079044	5.748688
2	-538.789562	5.542173
3	-539.500080	5.277685
4	-540.210598	4.990673
5	-540.921116	4.843666
6	-541.631634	4.775128
7	-542.342152	4.521668
8	-543.052671	4.441492
9	-543.763189	4.433694
10	-544.473707	4.425894
11	-545.184225	4.418092
12	-545.894743	4.372745
13	-546.605261	3.989190
14	-547.315779	3.710808
15	-548.026297	3.553881
16	-548.736815	3.338281
17	-549.447334	3.282690
18	-550.157852	3.176424
19	-550.868370	2.750301
20	-551.578888	2.527902
21	-552.289406	2.363373
22	-552.999924	2.251476
23	-553.710442	2.063719
24	-554.420960	2.054842
25	-555.131479	2.024776
26	-555.841997	2.020739
27	-556.552515	2.016701
28	-557.263033	2.012662
29	-557.973551	2.008622
30	-558.684069	2.004581
31	-559.394587	1.782637
32	-560.105105	1.719039
33	-560.815623	1.575465
34	-561.526142	1.572198
35	-562.236660	1.425630
36	-562.947178	1.150356
37	-563.657696	0.790945
38	-564.368214	0.672752
39	-565.078732	0.616553
40	-565.789250	0.494451
41	-566.499768	0.359821
42	-567.210287	0.262331
43	-567.920805	0.243335
44	-568.631323	0.007184
45	-569.341841	0.006289
46	-570.052359	-0.032152
bisection interval found by 1-dim search: [-570.052359,-569.341841]
No.8	 toolpath -486.381822	[r = -569.846281] is calculated within 11.010865s.
-----
initial linear search begins: 
No.	x	f(x)
0	-534.285479	6.100605
1	-534.996695	5.845288
2	-535.707911	5.629512
3	-536.419127	5.364340
4	-537.130343	5.076049
5	-537.841559	4.925190
6	-538.552775	4.854944
7	-539.263991	4.600392
8	-539.975207	4.508976
9	-540.686423	4.501181
10	-541.397639	4.493384
11	-542.108856	4.485585
12	-542.820072	4.443545
13	-543.531288	4.060628
14	-544.242504	3.776764
15	-544.953720	3.617123
16	-545.664936	3.401277
17	-546.376152	3.340208
18	-547.087368	3.237471
19	-547.798584	2.810011
20	-548.509800	2.582187
21	-549.221016	2.415379
22	-549.932232	2.302914
23	-550.643448	2.111711
24	-551.354664	2.100758
25	-552.065880	2.059585
26	-552.777096	2.055549
27	-553.488312	2.051512
28	-554.199528	2.047474
29	-554.910744	2.043435
30	-555.621960	2.039395
31	-556.333176	1.820060
32	-557.044392	1.752238
33	-557.755608	1.603589
34	-558.466824	1.600322
35	-559.178040	1.453052
36	-559.889256	1.178516
37	-560.600473	0.815001
38	-561.311689	0.692646
39	-562.022905	0.639340
40	-562.734121	0.511632
41	-563.445337	0.376644
42	-564.156553	0.274983
43	-564.867769	0.256736
44	-565.578985	0.014862
45	-566.290201	0.013968
46	-567.001417	-0.028903
bisection interval found by 1-dim search: [-567.001417,-566.290201]
No.9	 toolpath -483.352902	[r = -566.815973] is calculated within 10.989142s.
-----
initial linear search begins: 
No.	x	f(x)
0	-531.220697	6.191890
1	-531.932603	5.941392
2	-532.644508	5.716195
3	-533.356414	5.451462
4	-534.068319	5.162220
5	-534.780225	5.007406
6	-535.492130	4.934100
7	-536.204036	4.679670
8	-536.915941	4.575964
9	-537.627847	4.568171
10	-538.339752	4.560376
11	-539.051658	4.552578
12	-539.763563	4.514932
13	-540.475469	4.131671
14	-541.187374	3.843110
15	-541.899280	3.680051
16	-542.611186	3.463901
17	-543.323091	3.397310
18	-544.034997	3.299578
19	-544.746902	2.869378
20	-545.458808	2.636763
21	-546.170713	2.467494
22	-546.882619	2.354986
23	-547.594524	2.159605
24	-548.306430	2.146365
25	-549.018335	2.094133
26	-549.730241	2.090099
27	-550.442146	2.086064
28	-551.154052	2.082027
29	-551.865957	2.077990
30	-552.577863	2.073952
31	-553.289768	1.855346
32	-554.001674	1.785106
33	-554.713579	1.631507
34	-555.425485	1.628241
35	-556.137390	1.481225
36	-556.849296	1.206510
37	-557.561201	0.840010
38	-558.273107	0.712395
39	-558.985012	0.661934
40	-559.696918	0.528684
41	-560.408823	0.393372
42	-561.120729	0.287539
43	-561.832634	0.271012
44	-562.544540	0.022483
45	-563.256445	0.021589
46	-563.968351	-0.025683
bisection interval found by 1-dim search: [-563.968351,-563.256445]
No.10	 toolpath -480.333561	[r = -563.798022] is calculated within 10.981542s.
-----
initial linear search begins: 
No.	x	f(x)
0	-528.168629	6.281963
1	-528.881217	6.034180
2	-529.593805	5.801774
3	-530.306393	5.537294
4	-531.018980	5.247089
5	-531.731568	5.088171
6	-532.444156	5.012292
7	-533.156744	4.757666
8	-533.869332	4.642619
9	-534.581920	4.634829
10	-535.294508	4.627036
11	-536.007095	4.619242
12	-536.719683	4.584629
13	-537.432271	4.200892
14	-538.144859	3.908346
15	-538.857447	3.742376
16	-539.570035	3.526302
17	-540.282623	3.454140
18	-540.995210	3.359855
19	-541.707798	2.928538
20	-542.420386	2.690415
21	-543.132974	2.518973
22	-543.845562	2.405810
23	-544.558150	2.206915
24	-545.270738	2.191777
25	-545.983325	2.128506
26	-546.695913	2.124474
27	-547.408501	2.120441
28	-548.121089	2.116406
29	-548.833677	2.112371
30	-549.546265	2.108334
31	-550.258853	1.892506
32	-550.971440	1.817143
33	-551.684028	1.659292
34	-552.396616	1.656025
35	-553.109204	1.508359
36	-553.821792	1.232683
37	-554.534380	0.863833
38	-555.246968	0.732046
39	-555.959555	0.681155
40	-556.672143	0.545658
41	-557.384731	0.410045
42	-558.097319	0.300039
43	-558.809907	0.283248
44	-559.522495	0.030068
45	-560.235083	0.029175
46	-560.947670	-0.022478
bisection interval found by 1-dim search: [-560.947670,-560.235083]
No.11	 toolpath -477.323851	[r = -560.788312] is calculated within 11.119713s.
-----
initial linear search begins: 
No.	x	f(x)
0	-525.125109	6.371669
1	-525.838373	6.128183
2	-526.551637	5.887666
3	-527.264901	5.623908
4	-527.978165	5.333085
5	-528.691429	5.169305
6	-529.404693	5.090624
7	-530.117957	4.835432
8	-530.831221	4.712544
9	-531.544486	4.701197
10	-532.257750	4.693408
11	-532.971014	4.685617
12	-533.684278	4.653915
13	-534.397542	4.271498
14	-535.110806	3.974181
15	-535.824070	3.805033
16	-536.537334	3.590129
17	-537.250598	3.510737
18	-537.963862	3.419859
19	-538.677126	2.987524
20	-539.390390	2.744520
