The time spent in the parallel computing activating process is 0.000233s.
-----
No.1	 toolpath 535.098155	[r = 600.000000] is calculated within 0.026740s.
-----
initial linear search begins: 
No.	x	f(x)
2	538.215358	1.485250
3	538.944994	1.480529
4	539.674629	1.475807
5	540.404264	1.471084
6	541.133899	1.466360
7	541.863534	1.461635
8	542.593170	1.456909
9	543.322805	1.447987
10	544.052440	1.359509
11	544.782075	1.241770
12	545.511710	1.113536
13	546.241346	0.983749
14	546.970981	0.855540
15	547.700616	0.734301
16	548.430251	0.716497
17	549.159887	0.713768
18	549.889522	0.711039
19	550.619157	0.708308
20	551.348792	0.705578
21	552.078427	0.702847
22	552.808063	0.700116
23	553.537698	0.691629
24	554.267333	0.618000
25	554.996968	0.531248
26	555.726603	0.468836
27	556.456239	0.399486
28	557.185874	0.404951
29	557.915509	0.442463
30	558.645144	0.476030
31	559.374779	0.488100
32	560.104415	0.489218
33	560.834050	0.490337
34	561.563685	0.472554
35	562.293320	0.398122
36	563.022956	0.249299
37	563.752591	0.069231
38	564.482226	0.068272
39	565.211861	0.067312
40	565.941496	0.066353
41	566.671132	0.065393
42	567.400767	0.064434
43	568.130402	0.063475
44	568.860037	0.025589
45	569.589672	-0.115215
bisection interval found by 1-dim search: [568.860037,569.589672]
No.7	 toolpath 504.130626	[r = 569.031758] is calculated within 11.398936s.
-----
initial linear search begins: 
No.	x	f(x)
0	532.500568	1.547001
1	533.231192	1.542215
2	533.961816	1.537428
3	534.692439	1.532640
4	535.423063	1.527850
5	536.153687	1.523060
6	536.884311	1.521336
7	537.614935	1.516611
8	538.345558	1.511885
9	539.076182	1.456692
10	539.806806	1.349183
11	540.537430	1.226668
12	541.268054	1.098573
13	541.998677	0.967758
14	542.729301	0.839151
15	543.459925	0.750904
16	544.190549	0.748176
17	544.921173	0.745447
18	545.651796	0.742717
19	546.382420	0.739987
20	547.113044	0.737257
21	547.843668	0.734525
22	548.574292	0.731793
23	549.304915	0.692965
24	550.035539	0.604496
25	550.766163	0.512695
26	551.496787	0.461922
27	552.227411	0.403091
28	552.958034	0.393775
29	553.688658	0.433935
30	554.419282	0.464750
31	555.149906	0.475236
32	555.880530	0.476343
33	556.611153	0.477452
34	557.341777	0.465888
35	558.072401	0.397376
36	558.803025	0.255336
37	559.533649	0.080330
38	560.264272	0.079369
39	560.994896	0.078407
40	561.725520	0.077445
41	562.456144	0.076483
42	563.186768	0.075521
43	563.917391	0.074559
44	564.648015	0.031876
45	565.378639	-0.111450
bisection interval found by 1-dim search: [564.648015,565.378639]
No.8	 toolpath 499.953085	[r = 564.855644] is calculated within 11.367815s.
-----
initial linear search begins: 
No.	x	f(x)
0	528.275802	1.602302
1	529.007399	1.597517
2	529.738996	1.592730
3	530.470593	1.587943
4	531.202189	1.583154
5	531.933786	1.578364
6	532.665383	1.573572
7	533.396980	1.568780
8	534.128577	1.514508
9	534.860174	1.411181
10	535.591770	1.293950
11	536.323367	1.167047
12	537.054964	1.079663
13	537.786561	0.948891
14	538.518158	0.822357
15	539.249755	0.782327
16	539.981351	0.779598
17	540.712948	0.776868
18	541.444545	0.774139
19	542.176142	0.771409
20	542.907739	0.768678
21	543.639336	0.765947
22	544.370932	0.760036
23	545.102529	0.684380
24	545.834126	0.586739
25	546.565723	0.491853
26	547.297320	0.453544
27	548.028917	0.404993
28	548.760513	0.384668
29	549.492110	0.425011
30	550.223707	0.455185
31	550.955304	0.462595
32	551.686901	0.463692
33	552.418498	0.464790
34	553.150094	0.457422
35	553.881691	0.395908
36	554.613288	0.259710
37	555.344885	0.091367
38	556.076482	0.090403
39	556.808079	0.089439
40	557.539675	0.088474
41	558.271272	0.087510
42	559.002869	0.086546
43	559.734466	0.085582
44	560.466063	0.037831
45	561.197660	-0.107752
bisection interval found by 1-dim search: [560.466063,561.197660]
No.9	 toolpath 495.797129	[r = 560.698259] is calculated within 11.745988s.
-----
initial linear search begins: 
No.	x	f(x)
0	524.070403	1.657253
1	524.802961	1.652468
2	525.535518	1.647682
3	526.268075	1.642895
4	527.000632	1.638106
5	527.733189	1.633317
6	528.465746	1.628526
7	529.198303	1.593060
8	529.930860	1.502830
9	530.663417	1.394089
10	531.395975	1.275091
11	532.128532	1.148576
12	532.861089	1.018690
13	533.593646	0.889858
14	534.326203	0.814239
15	535.058760	0.811443
16	535.791317	0.808645
17	536.523874	0.805848
18	537.256431	0.805368
19	537.988989	0.802638
20	538.721546	0.799907
21	539.454103	0.797175
22	540.186660	0.764701
23	540.919217	0.670670
24	541.651774	0.568008
25	542.384331	0.470623
26	543.116888	0.443839
27	543.849445	0.405564
28	544.582003	0.376511
29	545.314560	0.416877
30	546.047117	0.445264
31	546.779674	0.450143
32	547.512231	0.451231
33	548.244788	0.452320
34	548.977345	0.448436
35	549.709902	0.394573
36	550.442459	0.264773
37	551.175017	0.102364
38	551.907574	0.101397
39	552.640131	0.100430
40	553.372688	0.099463
41	554.105245	0.098497
42	554.837802	0.097530
43	555.570359	0.096563
44	556.302916	0.043970
45	557.035473	-0.104134
bisection interval found by 1-dim search: [556.302916,557.035473]
