The time spent in the parallel computing activating process is 0.000240s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.028037s.
-----
initial linear search begins: 
No.	x	f(x)
0	-580.602381	3.202444
1	-580.990333	3.078942
2	-581.378286	2.956290
3	-581.766238	2.831283
4	-582.154191	2.706366
5	-582.542143	2.582727
6	-582.930095	2.460440
7	-583.318048	2.340286
8	-583.706000	2.222413
9	-584.093952	2.106893
10	-584.481905	1.995724
11	-584.869857	1.888587
12	-585.257810	1.785138
13	-585.645762	1.687629
14	-586.033714	1.593705
15	-586.421667	1.505358
16	-586.809619	1.421936
17	-587.197572	1.342091
18	-587.585524	1.266889
19	-587.973476	1.195861
20	-588.361429	1.127215
21	-588.749381	1.061595
22	-589.137333	0.998899
23	-589.525286	0.991368
24	-589.913238	0.930240
25	-590.301191	0.871157
26	-590.689143	0.813344
27	-591.077095	0.756756
28	-591.465048	0.701353
29	-591.853000	0.646398
30	-592.240952	0.591866
31	-592.628905	0.538415
32	-593.016857	0.484645
33	-593.404810	0.431895
34	-593.792762	0.378778
35	-594.180714	0.325274
36	-594.568667	0.272031
37	-594.956619	0.218409
38	-595.344571	0.164725
39	-595.732524	0.111406
40	-596.120476	0.058288
41	-596.508429	0.013366
42	-596.896381	-0.029113
bisection interval found by 1-dim search: [-596.896381,-596.508429]
No.2	 toolpath -514.532142	[r = -596.636483] is calculated within 6.761081s.
-----
initial linear search begins: 
No.	x	f(x)
0	-577.216447	3.259341
1	-577.604848	3.134746
2	-577.993249	3.010997
3	-578.381650	2.884858
4	-578.770050	2.758786
5	-579.158451	2.633974
6	-579.546852	2.510493
7	-579.935252	2.389149
8	-580.323653	2.270088
9	-580.712054	2.153379
10	-581.100455	2.041036
11	-581.488855	1.932733
12	-581.877256	1.828118
13	-582.265657	1.728582
14	-582.654057	1.634393
15	-583.042458	1.544915
16	-583.430859	1.459570
17	-583.819260	1.379409
18	-584.207660	1.302325
19	-584.596061	1.230213
20	-584.984462	1.160471
21	-585.372862	1.093759
22	-585.761263	1.029982
23	-586.149664	0.967577
24	-586.538065	0.906499
25	-586.926465	0.847429
26	-587.314866	0.789590
27	-587.703267	0.732229
28	-588.091667	0.676029
29	-588.480068	0.620956
30	-588.868469	0.565569
31	-589.256870	0.511252
32	-589.645270	0.504849
33	-590.033671	0.450328
34	-590.422072	0.396126
35	-590.810472	0.342217
36	-591.198873	0.287891
37	-591.587274	0.233181
38	-591.975675	0.177736
39	-592.364075	0.123337
40	-592.752476	0.069763
41	-593.140877	0.016897
42	-593.529277	-0.034644
bisection interval found by 1-dim search: [-593.529277,-593.140877]
No.3	 toolpath -511.158671	[r = -593.264528] is calculated within 6.834217s.
-----
initial linear search begins: 
No.	x	f(x)
0	-573.822171	3.316357
1	-574.211018	3.190667
2	-574.599865	3.064429
3	-574.988712	2.938547
4	-575.377560	2.811318
5	-575.766407	2.685332
6	-576.155254	2.560654
7	-576.544101	2.436948
8	-576.932948	2.316752
9	-577.321795	2.198905
10	-577.710642	2.085435
11	-578.099490	1.976008
12	-578.488337	1.870266
13	-578.877184	1.769611
14	-579.266031	1.674312
15	-579.654878	1.582892
16	-580.043725	1.497276
17	-580.432572	1.415221
18	-580.821419	1.337832
19	-581.210267	1.263859
20	-581.599114	1.193798
21	-581.987961	1.125993
22	-582.376808	1.060378
23	-582.765655	0.996887
