The time spent in the parallel computing activating process is 0.000197s.
-----
No.1	 toolpath 535.073516	[r = 600.000000] is calculated within 0.025376s.
-----
initial linear search begins: 
No.	x	f(x)0	568.344755	1.379614
4	553.959073	1.577918
5	554.595773	1.499266
6	555.232473	1.395637
7	555.869173	1.284535
8	556.505873	1.172312
9	557.142574	1.060871
10	557.779274	0.954636
11	558.415974	0.879284
12	559.052674	0.876897
13	559.689374	0.874508
14	560.326074	0.872120
15	560.962774	0.869730
16	561.599474	0.867341
17	562.236175	0.864951
18	562.872875	0.862561
19	563.509575	0.860170
20	564.146275	0.844970
21	564.782975	0.781818
22	565.419675	0.714036
23	566.056375	0.653973
24	566.693076	0.607932
25	567.329776	0.621006
26	567.966476	0.653450
27	568.603176	0.681603
28	569.239876	0.700798
29	569.876576	0.703862
30	570.513276	0.704853
31	571.149976	0.701907
32	571.786677	0.664465
33	572.423377	0.582581
34	573.060077	0.443328
35	573.696777	0.256061
36	574.333477	0.255225
37	574.970177	0.254388
38	575.606877	0.253551
39	576.243578	0.252714
40	576.880278	0.251878
41	577.516978	0.251041
42	578.153678	0.250204
43	578.790378	0.228017
44	579.427078	0.122795
45	580.063778	-0.042272
No.7	 toolpath 514.990689	[r = 579.917173] is calculated within 10.611319s.
-----
initial linear search begins: 
No.	x	f(x)0	548.047158	1.643889
1	548.684559	1.639753
2	549.321959	1.635617
3	549.959359	1.631479
4	550.596760	1.588247
5	551.234160	1.493718
6	551.871560	1.385926
7	552.508960	1.273409
8	553.146361	1.159789
9	553.783761	1.048103
10	554.421161	0.942283
11	555.058562	0.904447
12	555.695962	0.902059
13	556.333362	0.899671
14	556.970762	0.897282
15	557.608163	0.894893
16	558.245563	0.892503
17	558.882963	0.890113
18	559.520364	0.887722
19	560.157764	0.885331
20	560.795164	0.843275
21	561.432565	0.770496
22	562.069965	0.698956
23	562.707365	0.652754
24	563.344765	0.590276
25	563.982166	0.612261
26	564.619566	0.645205
27	565.256966	0.674242
28	565.894367	0.691664
29	566.531767	0.693500
30	567.169167	0.694483
31	567.806567	0.693322
32	568.443968	0.661637
33	569.081368	0.583783
34	569.718768	0.448418
35	570.356169	0.264845
36	570.993569	0.264007
37	571.630969	0.263168
38	572.268370	0.262330
39	572.905770	0.261492
40	573.543170	0.260653
41	574.180570	0.259815
42	574.817971	0.258976
43	575.455371	0.233776
44	576.092771	0.126385
45	576.730172	-0.039639
No.8	 toolpath 511.665210	[r = 576.591695] is calculated within 10.583514s.
-----
initial linear search begins: 
No.	x	f(x)0	544.686959	1.684724
1	545.325054	1.680529
2	545.963149	1.676333
3	546.601243	1.665457
4	547.239338	1.585773
5	547.877433	1.484044
6	548.515527	1.374033
7	549.153622	1.261424
8	549.791717	1.146861
9	550.429812	1.035353
10	551.067906	0.931936
11	551.706001	0.929548
12	552.344096	0.927160
13	552.982191	0.924771
14	553.620285	0.922382
15	554.258380	0.919993
16	554.896475	0.917603
17	555.534569	0.915213
18	556.172664	0.912822
19	556.810759	0.901941
20	557.448854	0.835459
21	558.086948	0.757293
22	558.725043	0.683771
23	559.363138	0.649736
24	560.001232	0.575690
25	560.639327	0.603951
26	561.277422	0.637915
27	561.915517	0.666603
28	562.553611	0.682114
29	563.191706	0.683243
30	563.829801	0.684219
31	564.467896	0.685172
32	565.105990	0.658210
33	565.744085	0.584494
34	566.382180	0.453121
35	567.020274	0.273624
36	567.658369	0.272784
37	568.296464	0.271944
38	568.934559	0.271104
39	569.572653	0.270264
40	570.210748	0.269424
41	570.848843	0.268584
