The time spent in the parallel computing activating process is 0.000249s.
-----
No.1	 toolpath -517.894901	[r = -600.000000] is calculated within 0.030134s.
-----
initial linear search begins: 
No.	x	f(x)
3	-457.876630	3.258471
4	-458.769729	2.916118
5	-459.662827	2.596355
6	-460.555926	2.301293
7	-461.449024	2.031041
8	-462.342123	1.781928
9	-463.235221	1.547305
10	-464.128320	1.322446
11	-465.021418	1.104718
12	-465.914516	0.990564
13	-466.807615	0.780458
14	-467.700713	0.572117
15	-468.593812	0.363878
16	-469.486910	0.154405
17	-470.380009	-0.054881
bisection interval found by 1-dim search: [-470.380009,-469.486910]
No.8	 toolpath -413.228459	[r = -470.143652] is calculated within 11.890721s.
-----
initial linear search begins: 
No.	x	f(x)
0	-425.142382	5.101087
1	-426.042408	4.705840
2	-426.942433	4.319006
3	-427.842459	3.947250
4	-428.742484	3.599073
5	-429.642509	3.275437
6	-430.542535	2.977451
7	-431.442560	2.701821
8	-432.342585	2.441669
9	-433.242611	2.303935
10	-434.142636	2.060547
11	-435.042662	1.823392
12	-435.942687	1.589566
13	-436.842712	1.358645
14	-437.742738	1.128945
15	-438.642763	0.897767
16	-439.542789	0.666042
17	-440.442814	0.439893
18	-441.342839	0.222713
19	-442.242865	0.024874
20	-443.142890	-0.143319
bisection interval found by 1-dim search: [-443.142890,-442.242865]
No.9	 toolpath -386.277354	[r = -442.366794] is calculated within 12.055739s.
-----
initial linear search begins: 
No.	x	f(x)
0	-397.063079	5.760124
1	-397.969153	5.346583
2	-398.875227	4.947891
3	-399.781302	4.732398
4	-400.687376	4.370294
5	-401.593450	4.033414
6	-402.499524	3.721804
7	-403.405599	3.430718
8	-404.311673	3.154127
9	-405.217747	2.887398
10	-406.123822	2.627993
11	-407.029896	2.373014
12	-407.935970	2.122174
13	-408.842045	1.869682
14	-409.748119	1.618152
15	-410.654193	1.365200
16	-411.560268	1.116904
17	-412.466342	0.878440
18	-413.372416	0.655579
19	-414.278490	0.461393
20	-415.184565	0.311044
21	-416.090639	0.252981
22	-416.996713	0.193161
23	-417.902788	0.168257
24	-418.808862	0.146787
25	-419.714936	0.106074
26	-420.621011	0.038899
27	-421.527085	-0.047490
bisection interval found by 1-dim search: [-421.527085,-420.621011]
No.10	 toolpath -365.363179	[r = -421.048387] is calculated within 12.814517s.
-----
initial linear search begins: 
No.	x	f(x)
0	-375.526297	6.359588
1	-376.436739	5.931321
2	-377.347180	5.520728
3	-378.257622	5.134106
4	-379.168064	4.774374
5	-380.078506	4.440953
6	-380.988948	4.127822
7	-381.899389	3.832865
