The time spent in the parallel computing activating process is 0.000211s.
-----
No.1	 toolpath -521.207649	[r = -600.000000] is calculated within 0.048873s.
-----
initial linear search begins: 
No.	x	f(x)
0	-564.311082	4.585795
1	-565.024861	4.369303
2	-565.738639	4.229075
3	-566.452418	4.238498
4	-567.166196	4.247922
5	-567.879974	4.234627
6	-568.593753	3.714098
7	-569.307531	3.133383
8	-570.021309	3.015180
9	-570.735088	2.755334
10	-571.448866	2.569447
11	-572.162644	2.577426
12	-572.876423	2.580832
13	-573.590201	2.375797
14	-574.303979	2.003191
15	-575.017758	1.682532
16	-575.731536	1.556290
17	-576.445314	1.504645
18	-577.159093	1.292002
19	-577.872871	0.937806
20	-578.586649	0.877270
21	-579.300428	0.883204
22	-580.014206	0.881648
23	-580.727985	0.792233
24	-581.441763	0.731162
25	-582.155541	0.680753
26	-582.869320	0.363573
27	-583.583098	0.342952
28	-584.296876	0.347145
29	-585.010655	0.351340
30	-585.724433	0.355536
31	-586.438211	0.284133
32	-587.151990	0.009674
33	-587.865768	-0.141396
bisection interval found by 1-dim search: [-587.865768,-587.151990]
No.2	 toolpath -508.377762	[r = -587.170810] is calculated within 9.917427s.
-----
initial linear search begins: 
No.	x	f(x)
0	-551.326074	2.481698
1	-552.042968	2.471498
2	-552.759863	2.286856
3	-553.476758	1.892701
4	-554.193653	1.749156
5	-554.910547	1.739764
6	-555.627442	1.596949
7	-556.344337	1.348934
8	-557.061231	1.177275
9	-557.778126	1.120866
10	-558.495021	1.112605
11	-559.211916	1.061504
12	-559.928810	0.718375
13	-560.645705	0.645792
14	-561.362600	0.638389
15	-562.079495	0.627472
16	-562.796389	0.554706
17	-563.513284	0.446083
18	-564.230179	0.366399
19	-564.947073	0.285859
20	-565.663968	0.214353
21	-566.380863	0.141791
22	-567.097758	0.046462
23	-567.814652	-0.032723
bisection interval found by 1-dim search: [-567.814652,-567.097758]
No.3	 toolpath -496.459822	[r = -567.479308] is calculated within 8.866872s.
-----
initial linear search begins: 
No.	x	f(x)
0	-531.403209	3.042827
1	-532.124731	3.012150
2	-532.846253	2.673738
3	-533.567775	2.325056
4	-534.289297	2.264813
5	-535.010819	2.230541
6	-535.732341	2.121373
7	-536.453863	1.856585
8	-537.175385	1.672982
9	-537.896907	1.577505
10	-538.618429	1.569242
11	-539.339951	1.522010
12	-540.061473	1.174537
13	-540.782995	1.055861
14	-541.504517	1.048410
15	-542.226039	1.033476
16	-542.947561	0.952731
17	-543.669083	0.831415
18	-544.390605	0.739381
19	-545.112127	0.647345
20	-545.833649	0.563480
21	-546.555171	0.480021
22	-547.276693	0.373339
23	-547.998215	0.281654
24	-548.719737	0.224236
25	-549.441259	0.167937
26	-550.162781	0.080214
27	-550.884303	-0.023793
bisection interval found by 1-dim search: [-550.884303,-550.162781]
No.4	 toolpath -479.659780	[r = -550.680670] is calculated within 9.261945s.
-----
initial linear search begins: 
No.	x	f(x)
0	-514.414549	1.636305
1	-515.139872	1.397477
2	-515.865194	1.387520
3	-516.590517	1.369171
4	-517.315839	1.291818
5	-518.041161	2.679055
6	-518.766484	2.437989
7	-519.491806	2.203427
8	-520.217129	2.004842
9	-520.942451	1.964750
10	-521.667774	1.956386
11	-522.393096	1.786540
12	-523.118418	1.428069
13	-523.843741	1.405387
14	-524.569063	1.396707
15	-525.294386	1.351175
16	-526.019708	1.229452
