The time spent in the parallel computing activating process is 0.000477s.
-----
No.1	 toolpath -2118.237076	[r = -2200.000000] is calculated within 0.032668s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2174.745099	4.790371
1	-2175.250197	4.695541
2	-2175.755295	4.598081
3	-2176.260393	4.495929
4	-2176.765491	4.385803
5	-2177.270589	4.264518
6	-2177.775687	4.133288
7	-2178.280785	3.994101
8	-2178.785883	3.848853
9	-2179.290981	3.696526
10	-2179.796079	3.540090
11	-2180.301177	3.378299
12	-2180.806275	3.214274
13	-2181.311373	3.048387
14	-2181.816471	2.881244
15	-2182.321569	2.715218
16	-2182.826667	2.549172
17	-2183.331765	2.387878
18	-2183.836863	2.229200
19	-2184.341962	2.076548
20	-2184.847060	1.931393
21	-2185.352158	1.792764
22	-2185.857256	1.662382
23	-2186.362354	1.539767
24	-2186.867452	1.425301
25	-2187.372550	1.317696
26	-2187.877648	1.216715
27	-2188.382746	1.121663
28	-2188.887844	1.030697
29	-2189.392942	0.942900
30	-2189.898040	0.857384
31	-2190.403138	0.774894
32	-2190.908236	0.693766
33	-2191.413334	0.613962
34	-2191.918432	0.535447
35	-2192.423530	0.457403
36	-2192.928628	0.379808
37	-2193.433726	0.301866
38	-2193.938824	0.224335
39	-2194.443922	0.145672
40	-2194.949020	0.067051
41	-2195.454118	-0.012115
bisection interval found by 1-dim search: [-2195.454118,-2194.949020]
No.2	 toolpath -2113.614245	[r = -2195.376183] is calculated within 6.855810s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2170.111423	4.816879
1	-2170.616718	4.720751
2	-2171.122013	4.622832
3	-2171.627308	4.520255
4	-2172.132603	4.409736
5	-2172.637899	4.288062
6	-2173.143194	4.156425
7	-2173.648489	4.016816
8	-2174.153784	3.871133
9	-2174.659079	3.718354
10	-2175.164375	3.560008
11	-2175.669670	3.399175
12	-2176.174965	3.234652
13	-2176.680260	3.068251
14	-2177.185555	2.900574
15	-2177.690851	2.733999
16	-2178.196146	2.567378
17	-2178.701441	2.404313
18	-2179.206736	2.246264
19	-2179.712031	2.093049
20	-2180.217327	1.947341
21	-2180.722622	1.808164
22	-2181.227917	1.677244
23	-2181.733212	1.554098
24	-2182.238508	1.439110
25	-2182.743803	1.330990
26	-2183.249098	1.229503
27	-2183.754393	1.133119
28	-2184.259688	1.041656
29	-2184.764984	0.953360
30	-2185.270279	0.868155
31	-2185.775574	0.784357
32	-2186.280869	0.703531
33	-2186.786164	0.623223
34	-2187.291460	0.543416
35	-2187.796755	0.464873
36	-2188.302050	0.386781
37	-2188.807345	0.309117
38	-2189.312640	0.230312
39	-2189.817936	0.151150
40	-2190.323231	0.072033
41	-2190.828526	-0.006895
bisection interval found by 1-dim search: [-2190.828526,-2190.323231]
No.3	 toolpath -2109.020204	[r = -2190.782141] is calculated within 6.818613s.
-----
initial linear search begins: 
No.	x	f(x)
0	-2165.507610	4.842419
1	-2166.013100	4.745802
2	-2166.518591	4.647426
3	-2167.024082	4.544427
4	-2167.529572	4.433518
5	-2168.035063	4.311459
6	-2168.540554	4.179418
7	-2169.046044	4.039392
8	-2169.551535	3.891906
9	-2170.057025	3.740049
10	-2170.562516	3.581237
11	-2171.068007	3.419927
12	-2171.573497	3.254909
13	-2172.078988	3.087996
14	-2172.584479	2.919790
15	-2173.089969	2.751313
16	-2173.595460	2.585477
17	-2174.100950	2.421840
